2016,1,0,-17867,products,product,competitive,new,market
2016,1,1,-17281,significant,factors,adverse,business,change
2016,1,2,-12167,tax,income,interest,position,rate
2016,1,3,-14632,factors,risks,risk,time,statements
2016,1,4,-12169,regulatory,management,companies,current,operate
2016,1,5,-13900,water,including,act,land,quality
2016,1,6,-19698,company,2015,31,december,employees
2016,1,7,-15241,change,emissions,greenhouse,states,united
2016,1,8,-21115,services,environments,data,systems,customers
2016,1,9,-17717,products,energy,services,environmentally,customers
2016,1,10,-22665,changes,risks,including,regulations,laws
2016,1,11,-11991,oil,gas,natural,production,costs
2016,1,12,-10718,weather,conditions,natural,change,disasters
2016,1,13,-23658,growth,business,long-term,strategy,believe
2016,1,14,-17229,liability,property,liabilities,company,claims
2016,1,15,-28083,economic,conditions,market,changes,markets
2016,1,16,-29586,business,operations,financial,regulatory,change
2016,1,17,-14380,capital,cash,ability,operating,stock
2016,1,18,-10538,development,research,care,use,manufacturing
2016,1,19,-38552,laws,regulations,subject,state,federal
2016,2,0,-20450,economic,conditions,market,changes,demand
2016,2,1,-19401,regulations,laws,including,changes,costs
2016,2,2,-11168,time,factors,risks,risk,control
2016,2,3,-13606,changes,regulatory,financial,economic,operations
2016,2,4,-9430,power,energy,systems,system,customers
2016,2,5,-28069,business,company,ability,new,products
2016,2,6,-11075,regulations,business,laws,costs,subject
2016,2,7,-11176,oil,company,products,environmentally,technology
2016,2,8,-9205,states,united,operations,company,prc
2016,2,9,-14784,company,operations,remediation,liability,contingencies
2016,2,10,-13903,claims,matters,proceedings,property,business
2016,2,11,-8497,real,estate,tax,risks,including
2016,2,12,-10243,services,operating,performance,management,environments
2016,2,13,-13946,31,2015,march,million,quarter
2016,2,14,-17849,interest,rate,loan,loans,factors
2016,2,15,-6739,liabilities,stock,company,common,accrued
2016,2,16,-13593,growth,financial,statements,business,future
2016,2,17,-18182,laws,regulations,federal,state,subject
2016,2,18,-10430,products,energy,services,company,systems
2016,2,19,-17901,significant,estimates,factors,changes,business
2016,3,0,-12212,products,systems,company,technology,energy
2016,3,1,-7265,control,internal,financial,new,reporting
2016,3,2,-10185,interest,rate,rates,low,net
2016,3,3,-13271,factors,current,loan,based,loss
2016,3,4,-14639,june,30,2015,million,company
2016,3,5,-12563,real,company,estate,property,properties
2016,3,6,-12540,services,products,company,management,segment
2016,3,7,-9064,united,states,including,regulatory,change
2016,3,8,-14990,economic,financial,market,changes,company
2016,3,9,-14039,growth,business,sales,continue,revenue
2016,3,10,-15718,business,ability,operations,adversely,results
2016,3,11,-17446,matters,claims,company,liability,proceedings
2016,3,12,-12328,changes,economic,estimates,including,conditions
2016,3,13,-8355,significant,adverse,business,value,change
2016,3,14,-11020,statements,time,factors,risks,financial
2016,3,15,-20232,regulations,changes,including,gas,natural
2016,3,16,-6756,energy,costs,prices,fuel,renewable
2016,3,17,-9046,costs,regulations,laws,safety,health
2016,3,18,-18141,laws,regulations,subject,state,federal
2016,3,19,-11421,product,development,products,data,technology
2016,4,0,-6045,tax,rate,interest,income,security
2016,4,1,-12736,future,capital,business,current,operating
2016,4,2,-12178,products,believe,energy,environmentally,new
2016,4,3,-8157,control,financial,internal,company,reporting
2016,4,4,-6993,operating,performance,costs,mffo,believe
2016,4,5,-8784,business,costs,incur,adversely,comply
2016,4,6,-19709,laws,regulations,safety,compliance,including
2016,4,7,-14496,ability,regulatory,business,changes,risks
2016,4,8,-9693,operations,results,financial,material,effect
2016,4,9,-13720,company,growth,business,market,sales
2016,4,10,-18759,economic,changes,conditions,political,financial
2016,4,11,-9950,real,property,estate,company,matters
2016,4,12,-12670,gas,natural,oil,risks,costs
2016,4,13,-17751,liabilities,company,matters,claims,proceedings
2016,4,14,-7686,time,risks,factors,risk,operate
2016,4,15,-16081,interest,rate,30,september,2015
2016,4,16,-12432,company,regulations,laws,federal,state
2016,4,17,-7780,significant,business,adverse,impairment,change
2016,4,18,-15058,factors,estimates,current,economic,based
2016,4,19,-18655,services,products,energy,environments,technology
2017,1,0,-18908,regulations,laws,safety,health,comply
2017,1,1,-16756,loans,loan,interest,risk,company
2017,1,2,-12720,rate,interest,competitive,market,financing
2017,1,3,-14399,factors,risks,time,risk,statements
2017,1,4,-33551,business,growth,believe,strategy,customers
2017,1,5,-29250,business,financial,operations,results,economic
2017,1,6,-7907,projects,development,system,activities,meet
2017,1,7,-13377,control,clinical,product,internal,process
2017,1,8,-15649,company,material,compliance,31,december
2017,1,9,-17381,liability,liabilities,including,risks,matters
2017,1,10,-31457,laws,regulations,state,federal,subject
2017,1,11,-13583,weather,conditions,natural,change,disasters
2017,1,12,-17526,regulations,laws,costs,changes,including
2017,1,13,-28128,products,services,customers,technology,solutions
2017,1,14,-9600,million,year,2015,cells,tumor
2017,1,15,-10796,performance,operating,believe,also,industry
2017,1,16,-15729,significant,tax,business,adverse,change
2017,1,17,-19463,changes,economic,conditions,political,rates
2017,1,18,-14391,energy,gas,oil,natural,water
2017,1,19,-16746,change,emissions,greenhouse,legislation,regulatory
2017,2,0,-15857,31,liabilities,march,million,costs
2017,2,1,-8635,materials,use,operations,hazardous,development
2017,2,2,-17713,laws,regulations,safety,compliance,health
2017,2,3,-9726,real,estate,risks,currency,company
2017,2,4,-12166,statements,factors,risks,time,risk
2017,2,5,-19557,changes,regulatory,including,conditions,regulations
2017,2,6,-16522,interest,rate,factors,loan,economic
2017,2,7,-7478,product,products,manufacturing,candidates,development
2017,2,8,-16701,solutions,environments,million,costs,technology
2017,2,9,-9871,company,costs,corporate,segments,additional
2017,2,10,-9145,control,company,management,internal,financial
2017,2,11,-11154,energy,quarter,first,products,oil
2017,2,12,-10608,services,energy,products,company,construction
2017,2,13,-16145,matters,claims,company,including,proceedings
2017,2,14,-10105,company,business,operations,economic,united
2017,2,15,-19256,economic,market,business,conditions,products
2017,2,16,-8667,laws,company,federal,state,regulations
2017,2,17,-13480,regulations,including,gas,change,related
2017,2,18,-19709,growth,business,capital,operating,believe
2017,2,19,-12728,significant,business,change,adverse,financial
2017,3,0,-10916,factors,time,risks,statements,risk
2017,3,1,-9227,operating,performance,believe,growth,properties
2017,3,2,-6447,greenhouse,change,emissions,gas,contents
2017,3,3,-12184,matters,claims,company,proceedings,legal
2017,3,4,-12718,operations,business,company,financial,results
2017,3,5,-12596,interest,rate,june,30,months
2017,3,6,-18012,products,services,customers,solutions,environments
2017,3,7,-8016,company,plan,companies,years,2015
2017,3,8,-10693,real,estate,property,matters,company
2017,3,9,-15903,changes,regulatory,including,capital,risks
2017,3,10,-22845,laws,regulations,federal,state,safety
2017,3,11,-10844,significant,change,changes,business,value
2017,3,12,-5966,costs,million,data,systems,months
2017,3,13,-16639,products,competitive,oil,business,gas
2017,3,14,-11435,liabilities,tax,costs,remediation,million
2017,3,15,-16778,changes,economic,conditions,including,political
2017,3,16,-8085,costs,ability,compliance,regulatory,regulations
2017,3,17,-8933,control,financial,internal,reporting,quarter
2017,3,18,-9018,company,management,services,energy,also
2017,3,19,-11711,factors,current,economic,loan,based
2017,4,0,-11200,risks,ability,costs,related,potential
2017,4,1,-6496,operations,results,financial,cash,condition
2017,4,2,-11068,claims,matters,proceedings,legal,business
2017,4,3,-10895,control,internal,management,reporting,financial
2017,4,4,-8780,liabilities,tax,assets,income,costs
2017,4,5,-8687,significant,change,business,adverse,impairment
2017,4,6,-11151,30,september,million,ended,months
2017,4,7,-10888,natural,weather,including,energy,power
2017,4,8,-11366,energy,water,facilities,company,environmentally
2017,4,9,-10429,real,economic,estate,changes,risks
2017,4,10,-13360,factors,loan,economic,estimates,current
2017,4,11,-17012,regulations,laws,including,safety,compliance
2017,4,12,-11662,time,statements,factors,risks,operate
2017,4,13,-10747,company,liability,matters,costs,remediation
2017,4,14,-23330,business,company,growth,product,products
2017,4,15,-12611,interest,rate,market,growth,rates
2017,4,16,-11611,services,company,currency,environments,products
2017,4,17,-12817,regulations,laws,subject,safety,health
2017,4,18,-9676,certain,liabilities,agreements,property,company
2017,4,19,-17390,changes,economic,business,conditions,financial
